#  E (eV)   dos(E)     Int dos(E)
  0.484  0.4635E+00  0.3242E+01
  0.494  0.4604E+00  0.3247E+01
  0.504  0.4574E+00  0.3252E+01
  0.514  0.4544E+00  0.3256E+01
  0.524  0.4514E+00  0.3261E+01
  0.534  0.4485E+00  0.3265E+01
  0.544  0.4455E+00  0.3270E+01
  0.554  0.4426E+00  0.3274E+01
  0.564  0.4396E+00  0.3278E+01
  0.574  0.4389E+00  0.3283E+01
  0.584  0.4374E+00  0.3287E+01
  0.594  0.4351E+00  0.3292E+01
  0.604  0.4327E+00  0.3296E+01
  0.614  0.4303E+00  0.3300E+01
  0.624  0.4279E+00  0.3304E+01
  0.634  0.4254E+00  0.3309E+01
  0.644  0.4229E+00  0.3313E+01
  0.654  0.4205E+00  0.3317E+01
  0.664  0.4180E+00  0.3321E+01
  0.674  0.4155E+00  0.3325E+01
  0.684  0.4129E+00  0.3330E+01
  0.694  0.4104E+00  0.3334E+01
  0.704  0.4078E+00  0.3338E+01
  0.714  0.4052E+00  0.3342E+01
  0.724  0.4026E+00  0.3346E+01
  0.734  0.4000E+00  0.3350E+01
  0.744  0.3974E+00  0.3354E+01
  0.754  0.3947E+00  0.3358E+01
  0.764  0.3921E+00  0.3362E+01
  0.774  0.3895E+00  0.3366E+01
  0.784  0.3870E+00  0.3369E+01
  0.794  0.3845E+00  0.3373E+01
  0.804  0.3820E+00  0.3377E+01
  0.814  0.3795E+00  0.3381E+01
  0.824  0.3771E+00  0.3385E+01
  0.834  0.3747E+00  0.3388E+01
  0.844  0.3724E+00  0.3392E+01
  0.854  0.3700E+00  0.3396E+01
  0.864  0.3677E+00  0.3400E+01
  0.874  0.3654E+00  0.3403E+01
  0.884  0.3632E+00  0.3407E+01
  0.894  0.3610E+00  0.3410E+01
  0.904  0.3588E+00  0.3414E+01
  0.914  0.3566E+00  0.3418E+01
  0.924  0.3545E+00  0.3421E+01
  0.934  0.3524E+00  0.3425E+01
  0.944  0.3503E+00  0.3428E+01
  0.954  0.3482E+00  0.3432E+01
  0.964  0.3462E+00  0.3435E+01
  0.974  0.3442E+00  0.3439E+01
  0.984  0.3422E+00  0.3442E+01
  0.994  0.3402E+00  0.3445E+01
  1.004  0.3383E+00  0.3449E+01
  1.014  0.3363E+00  0.3452E+01
  1.024  0.3344E+00  0.3455E+01
  1.034  0.3325E+00  0.3459E+01
  1.044  0.3305E+00  0.3462E+01
  1.054  0.3286E+00  0.3465E+01
  1.064  0.3267E+00  0.3469E+01
  1.074  0.3248E+00  0.3472E+01
  1.084  0.3229E+00  0.3475E+01
  1.094  0.3211E+00  0.3478E+01
  1.104  0.3192E+00  0.3482E+01
  1.114  0.3174E+00  0.3485E+01
  1.124  0.3156E+00  0.3488E+01
  1.134  0.3139E+00  0.3491E+01
  1.144  0.3121E+00  0.3494E+01
  1.154  0.3104E+00  0.3497E+01
  1.164  0.3088E+00  0.3500E+01
  1.174  0.3071E+00  0.3503E+01
  1.184  0.3054E+00  0.3506E+01
  1.194  0.3038E+00  0.3509E+01
  1.204  0.3022E+00  0.3512E+01
  1.214  0.3007E+00  0.3515E+01
  1.224  0.2991E+00  0.3518E+01
  1.234  0.2976E+00  0.3521E+01
  1.244  0.2961E+00  0.3524E+01
  1.254  0.2946E+00  0.3527E+01
  1.264  0.2932E+00  0.3530E+01
  1.274  0.2919E+00  0.3533E+01
  1.284  0.2906E+00  0.3536E+01
  1.294  0.2893E+00  0.3539E+01
  1.304  0.2880E+00  0.3542E+01
  1.314  0.2867E+00  0.3545E+01
  1.324  0.2853E+00  0.3548E+01
  1.334  0.2840E+00  0.3550E+01
  1.344  0.2827E+00  0.3553E+01
  1.354  0.2814E+00  0.3556E+01
  1.364  0.2800E+00  0.3559E+01
  1.374  0.2787E+00  0.3562E+01
  1.384  0.2777E+00  0.3564E+01
  1.394  0.2767E+00  0.3567E+01
  1.404  0.2757E+00  0.3570E+01
  1.414  0.2746E+00  0.3573E+01
  1.424  0.2735E+00  0.3575E+01
  1.434  0.2724E+00  0.3578E+01
  1.444  0.2712E+00  0.3581E+01
  1.454  0.2700E+00  0.3584E+01
  1.464  0.2688E+00  0.3586E+01
  1.474  0.2675E+00  0.3589E+01
  1.484  0.2662E+00  0.3592E+01
  1.494  0.2649E+00  0.3594E+01
  1.504  0.2635E+00  0.3597E+01
  1.514  0.2621E+00  0.3600E+01
  1.524  0.2607E+00  0.3602E+01
  1.534  0.2592E+00  0.3605E+01
  1.544  0.2577E+00  0.3607E+01
  1.554  0.2560E+00  0.3610E+01
  1.564  0.2543E+00  0.3612E+01
  1.574  0.2526E+00  0.3615E+01
  1.584  0.2510E+00  0.3617E+01
  1.594  0.2493E+00  0.3620E+01
  1.604  0.2477E+00  0.3622E+01
  1.614  0.2461E+00  0.3625E+01
  1.624  0.2444E+00  0.3627E+01
  1.634  0.2429E+00  0.3630E+01
  1.644  0.2413E+00  0.3632E+01
  1.654  0.2397E+00  0.3635E+01
  1.664  0.2382E+00  0.3637E+01
  1.674  0.2367E+00  0.3639E+01
  1.684  0.2352E+00  0.3642E+01
  1.694  0.2337E+00  0.3644E+01
  1.704  0.2322E+00  0.3646E+01
  1.714  0.2307E+00  0.3649E+01
  1.724  0.2293E+00  0.3651E+01
  1.734  0.2278E+00  0.3653E+01
  1.744  0.2264E+00  0.3655E+01
  1.754  0.2250E+00  0.3658E+01
  1.764  0.2236E+00  0.3660E+01
  1.774  0.2223E+00  0.3662E+01
  1.784  0.2209E+00  0.3664E+01
  1.794  0.2196E+00  0.3667E+01
  1.804  0.2179E+00  0.3669E+01
  1.814  0.2168E+00  0.3671E+01
  1.824  0.2157E+00  0.3673E+01
  1.834  0.2154E+00  0.3675E+01
  1.844  0.2165E+00  0.3677E+01
  1.854  0.2191E+00  0.3680E+01
  1.864  0.2232E+00  0.3682E+01
  1.874  0.2288E+00  0.3684E+01
  1.884  0.2358E+00  0.3686E+01
  1.894  0.2443E+00  0.3689E+01
  1.904  0.2543E+00  0.3691E+01
  1.914  0.2658E+00  0.3694E+01
  1.924  0.2787E+00  0.3697E+01
  1.934  0.2931E+00  0.3700E+01
  1.944  0.3090E+00  0.3703E+01
  1.954  0.3264E+00  0.3706E+01
  1.964  0.3452E+00  0.3710E+01
  1.974  0.3655E+00  0.3713E+01
  1.984  0.3873E+00  0.3717E+01
  1.994  0.5250E+00  0.3722E+01
  2.004  0.6268E+00  0.3729E+01
  2.014  0.6933E+00  0.3736E+01
  2.024  0.7388E+00  0.3743E+01
  2.034  0.7870E+00  0.3751E+01
  2.044  0.8396E+00  0.3759E+01
  2.054  0.8893E+00  0.3768E+01
  2.064  0.9362E+00  0.3778E+01
  2.074  0.9804E+00  0.3787E+01
  2.084  0.1022E+01  0.3798E+01
  2.094  0.1055E+01  0.3808E+01
  2.104  0.1087E+01  0.3819E+01
  2.114  0.1117E+01  0.3830E+01
  2.124  0.1147E+01  0.3842E+01
  2.134  0.1176E+01  0.3853E+01
  2.144  0.1204E+01  0.3865E+01
  2.154  0.1230E+01  0.3878E+01
  2.164  0.1240E+01  0.3890E+01
  2.174  0.1248E+01  0.3903E+01
  2.184  0.1254E+01  0.3915E+01
  2.194  0.1259E+01  0.3928E+01
  2.204  0.1262E+01  0.3940E+01
  2.214  0.1263E+01  0.3953E+01
  2.224  0.1261E+01  0.3966E+01
  2.234  0.1254E+01  0.3978E+01
  2.244  0.1246E+01  0.3991E+01
  2.254  0.1238E+01  0.4003E+01
  2.264  0.1229E+01  0.4015E+01
  2.274  0.1220E+01  0.4027E+01
  2.284  0.1211E+01  0.4040E+01
  2.294  0.1200E+01  0.4052E+01
  2.304  0.1189E+01  0.4063E+01
  2.314  0.1180E+01  0.4075E+01
  2.324  0.1171E+01  0.4087E+01
  2.334  0.1164E+01  0.4099E+01
  2.344  0.1158E+01  0.4110E+01
  2.354  0.1154E+01  0.4122E+01
  2.364  0.1149E+01  0.4133E+01
  2.374  0.1146E+01  0.4145E+01
  2.384  0.1143E+01  0.4156E+01
  2.394  0.1140E+01  0.4167E+01
  2.404  0.1137E+01  0.4179E+01
  2.414  0.1134E+01  0.4190E+01
  2.424  0.1132E+01  0.4202E+01
  2.434  0.1130E+01  0.4213E+01
  2.444  0.1127E+01  0.4224E+01
  2.454  0.1125E+01  0.4235E+01
  2.464  0.1124E+01  0.4247E+01
  2.474  0.1126E+01  0.4258E+01
  2.484  0.1153E+01  0.4269E+01
  2.494  0.1139E+01  0.4281E+01
  2.504  0.1123E+01  0.4292E+01
  2.514  0.1108E+01  0.4303E+01
  2.524  0.1094E+01  0.4314E+01
  2.534  0.1083E+01  0.4325E+01
  2.544  0.1072E+01  0.4336E+01
  2.554  0.1064E+01  0.4346E+01
  2.564  0.1056E+01  0.4357E+01
  2.574  0.1051E+01  0.4367E+01
  2.584  0.1047E+01  0.4378E+01
  2.594  0.1044E+01  0.4388E+01
  2.604  0.1042E+01  0.4399E+01
  2.614  0.1041E+01  0.4409E+01
  2.624  0.1039E+01  0.4419E+01
  2.634  0.1038E+01  0.4430E+01
  2.644  0.1037E+01  0.4440E+01
  2.654  0.1035E+01  0.4450E+01
  2.664  0.1039E+01  0.4461E+01
  2.674  0.1046E+01  0.4471E+01
  2.684  0.1049E+01  0.4482E+01
  2.694  0.1047E+01  0.4492E+01
  2.704  0.1041E+01  0.4503E+01
  2.714  0.1030E+01  0.4513E+01
  2.724  0.1016E+01  0.4523E+01
  2.734  0.1013E+01  0.4533E+01
  2.744  0.1012E+01  0.4543E+01
  2.754  0.1012E+01  0.4554E+01
  2.764  0.1013E+01  0.4564E+01
  2.774  0.1016E+01  0.4574E+01
  2.784  0.1018E+01  0.4584E+01
  2.794  0.1021E+01  0.4594E+01
  2.804  0.1023E+01  0.4604E+01
  2.814  0.1024E+01  0.4615E+01
  2.824  0.1025E+01  0.4625E+01
  2.834  0.1027E+01  0.4635E+01
  2.844  0.1029E+01  0.4645E+01
  2.854  0.1031E+01  0.4656E+01
  2.864  0.1033E+01  0.4666E+01
  2.874  0.1036E+01  0.4676E+01
  2.884  0.1039E+01  0.4687E+01
  2.894  0.1042E+01  0.4697E+01
  2.904  0.1046E+01  0.4708E+01
  2.914  0.1050E+01  0.4718E+01
  2.924  0.1055E+01  0.4729E+01
  2.934  0.1059E+01  0.4739E+01
  2.944  0.1063E+01  0.4750E+01
  2.954  0.1067E+01  0.4761E+01
  2.964  0.1072E+01  0.4771E+01
  2.974  0.1076E+01  0.4782E+01
  2.984  0.1081E+01  0.4793E+01
  2.994  0.1086E+01  0.4804E+01
  3.004  0.1092E+01  0.4815E+01
  3.014  0.1097E+01  0.4826E+01
  3.024  0.1103E+01  0.4837E+01
  3.034  0.1109E+01  0.4848E+01
  3.044  0.1115E+01  0.4859E+01
  3.054  0.1121E+01  0.4870E+01
  3.064  0.1228E+01  0.4882E+01
  3.074  0.1311E+01  0.4896E+01
  3.084  0.1213E+01  0.4908E+01
  3.094  0.1213E+01  0.4920E+01
  3.104  0.1210E+01  0.4932E+01
  3.114  0.1205E+01  0.4944E+01
  3.124  0.1212E+01  0.4956E+01
  3.134  0.1218E+01  0.4968E+01
  3.144  0.1224E+01  0.4981E+01
  3.154  0.1231E+01  0.4993E+01
  3.164  0.1238E+01  0.5005E+01
  3.174  0.1247E+01  0.5018E+01
  3.184  0.1256E+01  0.5030E+01
  3.194  0.1266E+01  0.5043E+01
  3.204  0.1275E+01  0.5056E+01
  3.214  0.1285E+01  0.5069E+01
  3.224  0.1295E+01  0.5081E+01
  3.234  0.1305E+01  0.5095E+01
  3.244  0.1316E+01  0.5108E+01
  3.254  0.1326E+01  0.5121E+01
  3.264  0.1337E+01  0.5134E+01
  3.274  0.1350E+01  0.5148E+01
  3.284  0.1366E+01  0.5161E+01
  3.294  0.1384E+01  0.5175E+01
  3.304  0.1404E+01  0.5189E+01
  3.314  0.1424E+01  0.5204E+01
  3.324  0.1441E+01  0.5218E+01
  3.334  0.1461E+01  0.5233E+01
  3.344  0.1497E+01  0.5248E+01
  3.354  0.1529E+01  0.5263E+01
  3.364  0.1556E+01  0.5278E+01
  3.374  0.1572E+01  0.5294E+01
  3.384  0.1571E+01  0.5310E+01
  3.394  0.1558E+01  0.5325E+01
  3.404  0.1557E+01  0.5341E+01
  3.414  0.1564E+01  0.5357E+01
  3.424  0.1569E+01  0.5372E+01
  3.434  0.1572E+01  0.5388E+01
  3.444  0.1574E+01  0.5404E+01
  3.454  0.1573E+01  0.5420E+01
  3.464  0.1557E+01  0.5435E+01
  3.474  0.1533E+01  0.5450E+01
  3.484  0.1518E+01  0.5466E+01
  3.494  0.1511E+01  0.5481E+01
  3.504  0.1508E+01  0.5496E+01
  3.514  0.1506E+01  0.5511E+01
  3.524  0.1505E+01  0.5526E+01
  3.534  0.1504E+01  0.5541E+01
  3.544  0.1504E+01  0.5556E+01
  3.554  0.1505E+01  0.5571E+01
  3.564  0.1507E+01  0.5586E+01
  3.574  0.1509E+01  0.5601E+01
  3.584  0.1511E+01  0.5616E+01
  3.594  0.1514E+01  0.5631E+01
  3.604  0.1516E+01  0.5647E+01
  3.614  0.1565E+01  0.5662E+01
  3.624  0.1570E+01  0.5678E+01
  3.634  0.1565E+01  0.5694E+01
  3.644  0.1558E+01  0.5709E+01
  3.654  0.1550E+01  0.5725E+01
  3.664  0.1541E+01  0.5740E+01
  3.674  0.1533E+01  0.5755E+01
  3.684  0.1529E+01  0.5771E+01
  3.694  0.1520E+01  0.5786E+01
  3.704  0.1512E+01  0.5801E+01
  3.714  0.1504E+01  0.5816E+01
  3.724  0.1497E+01  0.5831E+01
  3.734  0.1491E+01  0.5846E+01
  3.744  0.1485E+01  0.5861E+01
  3.754  0.1479E+01  0.5876E+01
  3.764  0.1474E+01  0.5890E+01
  3.774  0.1469E+01  0.5905E+01
  3.784  0.1465E+01  0.5920E+01
  3.794  0.1461E+01  0.5934E+01
  3.804  0.1447E+01  0.5949E+01
  3.814  0.1444E+01  0.5963E+01
  3.824  0.1441E+01  0.5978E+01
  3.834  0.1442E+01  0.5992E+01
  3.844  0.1445E+01  0.6007E+01
  3.854  0.1450E+01  0.6021E+01
  3.864  0.1456E+01  0.6036E+01
  3.874  0.1465E+01  0.6050E+01
  3.884  0.1477E+01  0.6065E+01
  3.894  0.1478E+01  0.6080E+01
  3.904  0.1445E+01  0.6094E+01
  3.914  0.1423E+01  0.6108E+01
  3.924  0.1419E+01  0.6123E+01
  3.934  0.1414E+01  0.6137E+01
  3.944  0.1410E+01  0.6151E+01
  3.954  0.1405E+01  0.6165E+01
  3.964  0.1401E+01  0.6179E+01
  3.974  0.1396E+01  0.6193E+01
  3.984  0.1392E+01  0.6207E+01
  3.994  0.1387E+01  0.6221E+01
  4.004  0.1383E+01  0.6234E+01
  4.014  0.1379E+01  0.6248E+01
  4.024  0.1375E+01  0.6262E+01
  4.034  0.1372E+01  0.6276E+01
  4.044  0.1369E+01  0.6289E+01
  4.054  0.1369E+01  0.6303E+01
  4.064  0.1370E+01  0.6317E+01
  4.074  0.1372E+01  0.6331E+01
  4.084  0.1377E+01  0.6344E+01
  4.094  0.1387E+01  0.6358E+01
  4.104  0.1401E+01  0.6372E+01
  4.114  0.1388E+01  0.6386E+01
  4.124  0.1382E+01  0.6400E+01
  4.134  0.1376E+01  0.6414E+01
  4.144  0.1370E+01  0.6427E+01
  4.154  0.1365E+01  0.6441E+01
  4.164  0.1361E+01  0.6455E+01
  4.174  0.1357E+01  0.6468E+01
  4.184  0.1353E+01  0.6482E+01
  4.194  0.1350E+01  0.6495E+01
  4.204  0.1347E+01  0.6509E+01
  4.214  0.1346E+01  0.6522E+01
  4.224  0.1344E+01  0.6536E+01
  4.234  0.1343E+01  0.6549E+01
  4.244  0.1342E+01  0.6562E+01
  4.254  0.1341E+01  0.6576E+01
  4.264  0.1341E+01  0.6589E+01
  4.274  0.1339E+01  0.6603E+01
  4.284  0.1337E+01  0.6616E+01
  4.294  0.1336E+01  0.6629E+01
  4.304  0.1334E+01  0.6643E+01
  4.314  0.1332E+01  0.6656E+01
  4.324  0.1329E+01  0.6669E+01
  4.334  0.1326E+01  0.6683E+01
  4.344  0.1323E+01  0.6696E+01
  4.354  0.1319E+01  0.6709E+01
  4.364  0.1336E+01  0.6722E+01
  4.374  0.1362E+01  0.6736E+01
  4.384  0.1379E+01  0.6750E+01
  4.394  0.1382E+01  0.6764E+01
  4.404  0.1380E+01  0.6777E+01
  4.414  0.1374E+01  0.6791E+01
  4.424  0.1364E+01  0.6805E+01
  4.434  0.1351E+01  0.6818E+01
  4.444  0.1334E+01  0.6832E+01
  4.454  0.1313E+01  0.6845E+01
  4.464  0.1308E+01  0.6858E+01
  4.474  0.1304E+01  0.6871E+01
  4.484  0.1300E+01  0.6884E+01
  4.494  0.1296E+01  0.6897E+01
  4.504  0.1292E+01  0.6910E+01
  4.514  0.1289E+01  0.6923E+01
  4.524  0.1285E+01  0.6935E+01
  4.534  0.1282E+01  0.6948E+01
  4.544  0.1279E+01  0.6961E+01
  4.554  0.1276E+01  0.6974E+01
  4.564  0.1273E+01  0.6987E+01
  4.574  0.1270E+01  0.6999E+01
  4.584  0.1268E+01  0.7012E+01
  4.594  0.1277E+01  0.7025E+01
  4.604  0.1294E+01  0.7038E+01
  4.614  0.1312E+01  0.7051E+01
  4.624  0.1324E+01  0.7064E+01
  4.634  0.1328E+01  0.7077E+01
  4.644  0.1323E+01  0.7091E+01
  4.654  0.1314E+01  0.7104E+01
  4.664  0.1305E+01  0.7117E+01
  4.674  0.1296E+01  0.7130E+01
  4.684  0.1286E+01  0.7143E+01
  4.694  0.1273E+01  0.7155E+01
  4.704  0.1264E+01  0.7168E+01
  4.714  0.1258E+01  0.7181E+01
  4.724  0.1253E+01  0.7193E+01
  4.734  0.1248E+01  0.7206E+01
  4.744  0.1243E+01  0.7218E+01
  4.754  0.1238E+01  0.7230E+01
  4.764  0.1232E+01  0.7243E+01
  4.774  0.1226E+01  0.7255E+01
  4.784  0.1220E+01  0.7267E+01
  4.794  0.1214E+01  0.7279E+01
  4.804  0.1208E+01  0.7291E+01
  4.814  0.1201E+01  0.7303E+01
  4.824  0.1195E+01  0.7315E+01
  4.834  0.1193E+01  0.7327E+01
  4.844  0.1199E+01  0.7339E+01
  4.854  0.1207E+01  0.7351E+01
  4.864  0.1212E+01  0.7363E+01
  4.874  0.1208E+01  0.7375E+01
  4.884  0.1203E+01  0.7388E+01
  4.894  0.1196E+01  0.7399E+01
  4.904  0.1188E+01  0.7411E+01
  4.914  0.1178E+01  0.7423E+01
  4.924  0.1167E+01  0.7435E+01
  4.934  0.1160E+01  0.7446E+01
  4.944  0.1153E+01  0.7458E+01
  4.954  0.1145E+01  0.7469E+01
  4.964  0.1127E+01  0.7481E+01
  4.974  0.1106E+01  0.7492E+01
  4.984  0.1084E+01  0.7503E+01
  4.994  0.1060E+01  0.7513E+01
  5.004  0.1034E+01  0.7524E+01
  5.014  0.1005E+01  0.7534E+01
  5.024  0.9758E+00  0.7543E+01
  5.034  0.9460E+00  0.7553E+01
  5.044  0.9166E+00  0.7562E+01
  5.054  0.8901E+00  0.7571E+01
  5.064  0.8666E+00  0.7580E+01
  5.074  0.8461E+00  0.7588E+01
  5.084  0.8287E+00  0.7596E+01
  5.094  0.8137E+00  0.7604E+01
  5.104  0.7991E+00  0.7612E+01
  5.114  0.7848E+00  0.7620E+01
  5.124  0.7707E+00  0.7628E+01
  5.134  0.7569E+00  0.7636E+01
  5.144  0.7435E+00  0.7643E+01
  5.154  0.7305E+00  0.7650E+01
  5.164  0.7177E+00  0.7657E+01
  5.174  0.7053E+00  0.7664E+01
  5.184  0.6931E+00  0.7671E+01
  5.194  0.6813E+00  0.7678E+01
  5.204  0.6697E+00  0.7685E+01
  5.214  0.6585E+00  0.7691E+01
  5.224  0.6476E+00  0.7698E+01
  5.234  0.6370E+00  0.7704E+01
  5.244  0.6124E+00  0.7710E+01
  5.254  0.6050E+00  0.7717E+01
  5.264  0.6038E+00  0.7723E+01
  5.274  0.6028E+00  0.7729E+01
  5.284  0.6015E+00  0.7735E+01
  5.294  0.5998E+00  0.7741E+01
  5.304  0.5977E+00  0.7747E+01
  5.314  0.5923E+00  0.7752E+01
  5.324  0.5841E+00  0.7758E+01
  5.334  0.5759E+00  0.7764E+01
  5.344  0.5677E+00  0.7770E+01
  5.354  0.5597E+00  0.7775E+01
  5.364  0.5516E+00  0.7781E+01
  5.374  0.5437E+00  0.7786E+01
  5.384  0.5557E+00  0.7792E+01
  5.394  0.5617E+00  0.7797E+01
  5.404  0.5610E+00  0.7803E+01
  5.414  0.5535E+00  0.7809E+01
  5.424  0.5393E+00  0.7814E+01
  5.434  0.5183E+00  0.7819E+01
  5.444  0.4918E+00  0.7824E+01
  5.454  0.4832E+00  0.7829E+01
  5.464  0.4742E+00  0.7834E+01
  5.474  0.4648E+00  0.7838E+01
  5.484  0.4550E+00  0.7843E+01
  5.494  0.4445E+00  0.7847E+01
  5.504  0.4333E+00  0.7852E+01
  5.514  0.4214E+00  0.7856E+01
  5.524  0.4089E+00  0.7860E+01
  5.534  0.3974E+00  0.7864E+01
  5.544  0.3906E+00  0.7868E+01
  5.554  0.3851E+00  0.7872E+01
  5.564  0.3828E+00  0.7876E+01
  5.574  0.3804E+00  0.7879E+01
  5.584  0.3779E+00  0.7883E+01
  5.594  0.3752E+00  0.7887E+01
  5.604  0.3725E+00  0.7891E+01
  5.614  0.3696E+00  0.7894E+01
  5.624  0.3666E+00  0.7898E+01
  5.634  0.3632E+00  0.7902E+01
  5.644  0.3571E+00  0.7905E+01
  5.654  0.3510E+00  0.7909E+01
  5.664  0.3448E+00  0.7912E+01
  5.674  0.3385E+00  0.7916E+01
  5.684  0.3321E+00  0.7919E+01
  5.694  0.3257E+00  0.7922E+01
  5.704  0.3192E+00  0.7925E+01
  5.714  0.3126E+00  0.7928E+01
  5.724  0.3060E+00  0.7931E+01
  5.734  0.2993E+00  0.7934E+01
  5.744  0.2925E+00  0.7937E+01
  5.754  0.2857E+00  0.7940E+01
  5.764  0.2788E+00  0.7943E+01
  5.774  0.2718E+00  0.7946E+01
  5.784  0.2648E+00  0.7948E+01
  5.794  0.2576E+00  0.7951E+01
  5.804  0.2501E+00  0.7953E+01
  5.814  0.2419E+00  0.7956E+01
  5.824  0.2335E+00  0.7958E+01
  5.834  0.2249E+00  0.7960E+01
  5.844  0.2163E+00  0.7963E+01
  5.854  0.2076E+00  0.7965E+01
  5.864  0.1988E+00  0.7967E+01
  5.874  0.1900E+00  0.7969E+01
  5.884  0.1813E+00  0.7970E+01
  5.894  0.1760E+00  0.7972E+01
  5.904  0.1707E+00  0.7974E+01
  5.914  0.1653E+00  0.7976E+01
  5.924  0.1599E+00  0.7977E+01
  5.934  0.1545E+00  0.7979E+01
  5.944  0.1490E+00  0.7980E+01
  5.954  0.1435E+00  0.7982E+01
  5.964  0.1380E+00  0.7983E+01
  5.974  0.1324E+00  0.7984E+01
  5.984  0.1269E+00  0.7986E+01
  5.994  0.1212E+00  0.7987E+01
  6.004  0.1156E+00  0.7988E+01
  6.014  0.1099E+00  0.7989E+01
  6.024  0.1043E+00  0.7990E+01
  6.034  0.9853E-01  0.7991E+01
  6.044  0.9277E-01  0.7992E+01
  6.054  0.8699E-01  0.7993E+01
  6.064  0.8118E-01  0.7994E+01
  6.074  0.7534E-01  0.7994E+01
  6.084  0.6947E-01  0.7995E+01
  6.094  0.6878E-01  0.7996E+01
  6.104  0.1135E+00  0.7997E+01
  6.114  0.8553E-01  0.7998E+01
  6.124  0.4217E-01  0.7998E+01
  6.134  0.3504E-01  0.7999E+01
  6.144  0.2857E-01  0.7999E+01
  6.154  0.2276E-01  0.7999E+01
  6.164  0.1761E-01  0.7999E+01
  6.174  0.1312E-01  0.7999E+01
  6.184  0.9288E-02  0.7999E+01
  6.194  0.6117E-02  0.8000E+01
  6.204  0.3606E-02  0.8000E+01
  6.214  0.1754E-02  0.8000E+01
  6.224  0.5626E-03  0.8000E+01
  6.234  0.3086E-04  0.8000E+01
  6.244  0.0000E+00  0.8000E+01
  6.254  0.0000E+00  0.8000E+01
  6.264  0.0000E+00  0.8000E+01
  6.274  0.0000E+00  0.8000E+01
  6.284  0.0000E+00  0.8000E+01
  6.294  0.0000E+00  0.8000E+01
  6.304  0.0000E+00  0.8000E+01
  6.314  0.0000E+00  0.8000E+01
  6.324  0.0000E+00  0.8000E+01
  6.334  0.0000E+00  0.8000E+01
  6.344  0.0000E+00  0.8000E+01
  6.354  0.0000E+00  0.8000E+01
  6.364  0.0000E+00  0.8000E+01
  6.374  0.0000E+00  0.8000E+01
  6.384  0.0000E+00  0.8000E+01
  6.394  0.0000E+00  0.8000E+01
  6.404  0.0000E+00  0.8000E+01
  6.414  0.0000E+00  0.8000E+01
  6.424  0.0000E+00  0.8000E+01
  6.434  0.0000E+00  0.8000E+01
  6.444  0.0000E+00  0.8000E+01
  6.454  0.0000E+00  0.8000E+01
  6.464  0.0000E+00  0.8000E+01
  6.474  0.0000E+00  0.8000E+01
  6.484  0.0000E+00  0.8000E+01
  6.494  0.0000E+00  0.8000E+01
  6.504  0.0000E+00  0.8000E+01
  6.514  0.0000E+00  0.8000E+01
  6.524  0.0000E+00  0.8000E+01
  6.534  0.0000E+00  0.8000E+01
  6.544  0.0000E+00  0.8000E+01
  6.554  0.0000E+00  0.8000E+01
  6.564  0.0000E+00  0.8000E+01
  6.574  0.0000E+00  0.8000E+01
  6.584  0.0000E+00  0.8000E+01
  6.594  0.0000E+00  0.8000E+01
  6.604  0.0000E+00  0.8000E+01
  6.614  0.0000E+00  0.8000E+01
  6.624  0.0000E+00  0.8000E+01
  6.634  0.0000E+00  0.8000E+01
  6.644  0.0000E+00  0.8000E+01
  6.654  0.0000E+00  0.8000E+01
  6.664  0.0000E+00  0.8000E+01
  6.674  0.0000E+00  0.8000E+01
  6.684  0.0000E+00  0.8000E+01
  6.694  0.0000E+00  0.8000E+01
  6.704  0.0000E+00  0.8000E+01
  6.714  0.0000E+00  0.8000E+01
  6.724  0.0000E+00  0.8000E+01
  6.734  0.0000E+00  0.8000E+01
  6.744  0.0000E+00  0.8000E+01
  6.754  0.0000E+00  0.8000E+01
  6.764  0.0000E+00  0.8000E+01
  6.774  0.0000E+00  0.8000E+01
  6.784  0.0000E+00  0.8000E+01
  6.794  0.0000E+00  0.8000E+01
  6.804  0.0000E+00  0.8000E+01
  6.814  0.3726E-05  0.8000E+01
  6.824  0.2901E-03  0.8000E+01
  6.834  0.1033E-02  0.8000E+01
  6.844  0.2232E-02  0.8000E+01
  6.854  0.3886E-02  0.8000E+01
  6.864  0.5998E-02  0.8000E+01
  6.874  0.8565E-02  0.8000E+01
  6.884  0.1159E-01  0.8000E+01
  6.894  0.1507E-01  0.8000E+01
  6.904  0.1900E-01  0.8000E+01
  6.914  0.2340E-01  0.8001E+01
  6.924  0.2824E-01  0.8001E+01
  6.934  0.3355E-01  0.8001E+01
  6.944  0.3931E-01  0.8002E+01
  6.954  0.4558E-01  0.8002E+01
  6.964  0.5345E-01  0.8003E+01
  6.974  0.6334E-01  0.8003E+01
  6.984  0.7529E-01  0.8004E+01
  6.994  0.8931E-01  0.8005E+01
  7.004  0.1054E+00  0.8006E+01
  7.014  0.1235E+00  0.8007E+01
  7.024  0.1281E+00  0.8008E+01
  7.034  0.1331E+00  0.8010E+01
  7.044  0.1384E+00  0.8011E+01
  7.054  0.1440E+00  0.8013E+01
  7.064  0.1500E+00  0.8014E+01
  7.074  0.1563E+00  0.8016E+01
  7.084  0.1629E+00  0.8017E+01
  7.094  0.1699E+00  0.8019E+01
  7.104  0.1772E+00  0.8021E+01
  7.114  0.1848E+00  0.8023E+01
  7.124  0.1928E+00  0.8024E+01
